player_id,position_matches,matches_matches,wins_matches,losses_matches,wl_ratio_matches,ties_matches,kills_matches,deaths_matches,killstreak_matches,damage_dealt_matches,arrows_shot_matches,arrows_hit_matches,wools_matches,wools_touched_matches,flags_matches,flags_picked_matches,cores_matches,monuments_matches,position_pvp,matches_pvp,wins_pvp,losses_pvp,wl_ratio_pvp,ties_pvp,kills_pvp,deaths_pvp,killstreak_pvp,damage_dealt_pvp,arrows_shot_pvp,arrows_hit_pvp,wools_pvp,wools_touched_pvp,flags_pvp,flags_picked_pvp,cores_pvp,monuments_pvp,position_objectives,matches_objectives,wins_objectives,losses_objectives,wl_ratio_objectives,ties_objectives,kills_objectives,deaths_objectives,killstreak_objectives,damage_dealt_objectives,arrows_shot_objectives,arrows_hit_objectives,wools_objectives,wools_touched_objectives,flags_objectives,flags_picked_objectives,cores_objectives,monuments_objectives
player_daf81b56fb0f,#42,9694.0,4296.0,5395.0,0.8,3.0,,,,,,,,,,,,,#219,,,,,,21670.0,47005.0,85.0,27.0,149490.0,57381.0,,,,,,,#775,,,,,,,,,,,,43.0,619.0,115.0,463.0,15.0,170.0
player_d3cb24e9397e,#43,9578.0,3483.0,6090.0,0.57,5.0,,,,,,,,,,,,,#333,,,,,,15218.0,51174.0,26.0,20.0,59861.0,28002.0,,,,,,,#588,,,,,,,,,,,,63.0,654.0,55.0,179.0,21.0,105.0
player_971099e6273d,#44,9396.0,4701.0,4693.0,1.0,2.0,,,,,,,,,,,,,#9,,,,,,96906.0,58501.0,140.0,123.5,353354.0,110562.0,,,,,,,#37,,,,,,,,,,,,701.0,1964.0,332.0,928.0,119.0,398.0
player_3702631178be,#45,9390.0,3540.0,5848.0,0.61,2.0,,,,,,,,,,,,,#350,,,,,,14661.0,46434.0,21.0,9.0,44439.0,33488.0,,,,,,,#118,,,,,,,,,,,,359.0,1732.0,116.0,342.0,91.0,380.0
player_4ef86c0760b9,#46,9331.0,3735.0,5591.0,0.67,5.0,,,,,,,,,,,,,#185,,,,,,25220.0,55768.0,17.0,13.5,100565.0,32837.0,,,,,,,#171,,,,,,,,,,,,262.0,1035.0,447.0,1271.0,56.0,219.0
player_c5f22dedd806,#47,9250.0,4326.0,4911.0,0.88,13.0,,,,,,,,,,,,,#176,,,,,,26080.0,41435.0,135.0,25.0,171377.0,88217.0,,,,,,,#61,,,,,,,,,,,,553.0,1812.0,570.0,951.0,260.0,678.0
player_0f63115cb85d,#48,9175.0,4874.0,4300.0,1.13,1.0,,,,,,,,,,,,,#124,,,,,,33037.0,33873.0,65.0,64.5,145555.0,67901.0,,,,,,,#36,,,,,,,,,,,,717.0,2717.0,142.0,470.0,220.0,792.0
player_0e644e22f897,#49,9139.0,3894.0,5237.0,0.74,8.0,,,,,,,,,,,,,#140,,,,,,30827.0,38629.0,92.0,41.5,198580.0,87251.0,,,,,,,#67,,,,,,,,,,,,538.0,2269.0,215.0,531.0,48.0,399.0
player_9097616683d4,#50,9115.0,3858.0,5257.0,0.73,0.0,,,,,,,,,,,,,#98,,,,,,36970.0,76552.0,24.0,65.0,244709.0,99909.0,,,,,,,#272,,,,,,,,,,,,155.0,755.0,616.0,1687.0,42.0,209.0
player_da9f9ab6772e,#51,9076.0,3758.0,5316.0,0.71,2.0,,,,,,,,,,,,,#117,,,,,,34116.0,32457.0,81.0,55.5,150505.0,78252.0,,,,,,,#72,,,,,,,,,,,,508.0,1740.0,198.0,480.0,73.0,273.0
